pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,28524264,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,8918871,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3129633,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,339933606,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,86904406,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,33379639,,,0
H5,2021,2021,2021,2,0,4,Re-Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,4915,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,5263343,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,62350012,,,0
H5,2021,2021,2021,2,0,4,Re-Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,12875,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,943816625,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,312763421,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,844937021,,,4
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,126684779,,,0
H5,2021,2021,2021,2,0,3,Re-Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,1412,,,0
H5,2021,2021,2021,2,0,4,Re-Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,1023,,,4
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,930742349,,,4
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,2259378904,,,4
H5,2021,2021,2021,2,0,3,Re-Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,26641,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,215894729,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,491407083,,,0
H5,2021,2021,2021,2,0,3,Re-Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,422991,,,0
H5,2021,2021,2021,2,0,4,Re-Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,158141,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,16290401,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,37526627,,,4
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,1979194068,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,294894829,,,0
H5,2021,2021,2021,2,0,4,Re-Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,2114,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,25189199,,,0
H5,2021,2021,2021,2,0,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,43037565,,,0
H5,2021,2021,2021,2,0,3,Re-Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,20588,,,0
H5,2021,2021,2021,2,0,4,Re-Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,5371,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,3602545298,,,0
