pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,468605,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,774,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,35794,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,4701985,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,139411685,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,1259193,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,2240182,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,118623313,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,152421,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,12160,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,4,Afghanistan,AFG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,135237,,,4
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,8,Albania,ALB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,142071,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,8,Albania,ALB,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,258,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,8,Albania,ALB,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,10004,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,8,Albania,ALB,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,322,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,12,Algeria,DZA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,334576,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,12,Algeria,DZA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,84178,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,12,Algeria,DZA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,174905,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,28,Antigua and Barbuda,ATG,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,5465,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,28,Antigua and Barbuda,ATG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,6970,,,0
H5,2021,2021,2021,2,0,1,Import,586,Pakistan,PAK,32,Argentina,ARG,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,59812,,,0
